message,response
Hello,Hi there! How can I help you today?
Hi,Hi there! How can I help you today?
Hey,Hi there! How can I help you today?
Goodbye,Goodbye! Have a great day!
Bye,Goodbye! Have a great day!
See you later,Goodbye! Have a great day!
What's your name?,I'm Aetheron your AI assistant.
Who are you?,I'm Aetheron your personal AI assistant.
Tell me a joke,"Sure! Why did the programmer quit his job? He didn't get arrays."
Make me laugh,"Sure! Why did the programmer quit his job? He didn't get arrays."
